Life expectancy at birth,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.391,56.734,57.413,58.077,58.726,59.359,59.978,60.58,61.168,61.74,62.296,62.837,63.363,63.873,64.369,64.85,65.317,65.771,66.212,66.64,67.057,67.463,67.858,68.242,68.615,68.977,69.325,69.66,69.982,70.293,70.595,70.89,71.181,71.471,71.76,72.05,72.341,72.63,72.916,73.2,73.481,73.758,74.032,74.302,74.569,74.834,75.1,75.365,75.629,75.889,76.142,76.381,76.604,76.809,76.995,77.163,77.317,77.461,77.6,77.736,77.871
Bulgaria,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,42.5,,,43.3,,,,,,,,,,,,,,,,,,44.6,,,45.3,,,,48.3,,,,,,,51.8,,,,,,,,,,54.08,55.79,57.92,61.39,60.63,59.6,64.14,64.4,64.81,65.21,66.61,68.71,66.57,69.18,70.22,69.51,70.34,71.14,71.3,71.23,70.42,71.25,70.43,71.27,70.87,70.9,71.34,71.2,71.05,71.38,70.81,71.17,71.27,71.1,71.49,71.08,71.25,71.35,71.07,71.55,71.34,71.4,71.46,71.31,71.19,71.19,71.18,70.85,70.95,70.85,70.32,70.91,71.57,71.59,71.9,72.14,72.35,72.54,72.53,72.64,72.95,73.317,73.006,73.184
Burkina Faso,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,30.646,30.928,31.489,32.045,32.598,33.147,33.692,34.232,34.767,35.296,35.819,36.334,36.841,37.342,37.839,38.334,38.833,39.337,39.85,40.372,40.904,41.447,41.997,42.55,43.104,43.66,44.219,44.78,45.335,45.875,46.382,46.841,47.241,47.577,47.848,48.054,48.204,48.311,48.395,48.467,48.539,48.616,48.703,48.804,48.928,49.078,49.258,49.467,49.706,49.977,50.289,50.649,51.058,51.511,52.001,52.514,53.039,53.559,54.065,54.549,55.006
Burundi,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,,,,,38.419,38.572,38.875,39.177,39.478,39.776,40.074,40.371,40.668,40.969,41.275,41.587,41.906,42.227,42.545,42.844,43.105,43.318,43.485,43.617,43.735,43.869,44.045,44.281,44.58,44.941,45.353,45.788,46.221,46.631,47.012,47.363,47.679,47.951,48.156,48.247,48.171,47.913,47.489,46.931,46.308,45.701,45.189,44.832,44.657,44.668,44.84,45.11,45.424,45.757,46.094,46.425,46.762,47.11,47.467,47.836,48.221,48.627,49.054,49.497,49.952
Cambodia,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,38.588,38.801,39.222,39.63,40.027,40.412,40.792,41.17,41.553,41.96,42.404,42.895,43.432,43.991,44.529,44.976,45.256,45.307,45.082,44.557,43.632,42.206,40.343,38.205,36.001,34.116,32.98,32.845,33.81,35.831,38.69,42.033,45.393,48.388,50.824,52.599,53.742,54.471,54.977,55.328,55.578,55.764,55.897,55.999,56.105,56.245,56.434,56.667,56.939,57.258,57.631,58.06,58.538,59.051,59.588,60.138,60.686,61.221,61.736,62.224,62.686
Cameroon,28.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.75,,,,,,,,,,,,,,28.75,,,,,37.861,38.022,38.353,38.7,39.064,39.444,39.841,40.251,40.675,41.109,41.548,41.99,42.431,42.869,43.305,43.742,44.185,44.641,45.111,45.599,46.103,46.625,47.16,47.7,48.241,48.776,49.303,49.815,50.309,50.776,51.214,51.621,51.995,52.334,52.632,52.882,53.079,53.22,53.303,53.324,53.275,53.15,52.952,52.689,52.374,52.015,51.624,51.216,50.812,50.432,50.097,49.819,49.605,49.463,49.404,49.443,49.592,49.847,50.194,50.617,51.096
Canada,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0464,,,,,,,,,,40.3172,,,,,,,,,,41.05968,,,,,,,,,,41.59504,,,,,,,,,,42.5568,,,,,,,,,,44.72976,,,,,,,,,,45.17416,,,,,,,,,,48.63448,,,,,,,,,,52.51064,,,,,,,,,,57.02,57.02,57.02,58.83,59.31,57.99,58.68,58.57,57.97,58.95,60.36,61.43,62.36,62.77,62.49,62.72,61.35,63.31,63.74,64.01,63.76,64.7,64.61,65.35,66.33,66.53,66.78,67.33,67.65,68.28,68.55,68.75,69.13,69.99,70.05,70.04,69.96,70.62,70.66,71.04,71.27,71.3,71.31,71.69,71.79,71.92,72.13,72.29,72.45,72.65,72.98,72.88,73.11,73.19,73.49,73.92,74.21,74.54,74.9,75.14,75.55,75.76,76.13,76.43,76.41,76.56,76.86,76.93,77.2,77.51,77.69,77.95,77.83,78.01,78.13,78.4,78.61,78.83,79.05,79.41,79.65,79.77,79.95,80.25,80.36,80.78,80.592,80.743,80.753,80.885
Cape Verde,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,,,,,,,,,,,,,,,46.493,46.595,46.804,47.023,47.252,47.489,47.734,47.985,48.24,48.491,48.735,48.967,49.188,49.405,49.634,49.906,50.254,50.701,51.255,51.913,52.657,53.461,54.288,55.103,55.889,56.634,57.337,58.013,58.671,59.313,59.938,60.546,61.138,61.713,62.273,62.815,63.34,63.848,64.339,64.815,65.276,65.72,66.149,66.568,66.982,67.398,67.823,68.263,68.719,69.194,69.693,70.22,70.768,71.325,71.876,72.399,72.867,73.265,73.587,73.835,74.018
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,32.608,32.817,33.232,33.645,34.056,34.464,34.87,35.274,35.678,36.082,36.489,36.902,37.327,37.768,38.234,38.735,39.283,39.881,40.528,41.22,41.953,42.723,43.515,44.31,45.092,45.846,46.56,47.226,47.833,48.37,48.826,49.193,49.474,49.67,49.782,49.811,49.758,49.632,49.437,49.178,48.848,48.434,47.937,47.371,46.759,46.128,45.504,44.917,44.4,43.983,43.696,43.559,43.568,43.714,43.992,44.396,44.919,45.536,46.217,46.938,47.672
Chad,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9,,,,,36.8,36.98,37.339,37.7,38.061,38.423,38.786,39.151,39.518,39.887,40.26,40.638,41.019,41.405,41.792,42.176,42.552,42.918,43.271,43.614,43.949,44.282,44.618,44.963,45.322,45.702,46.108,46.539,46.99,47.454,47.924,48.393,48.852,49.285,49.679,50.02,50.296,50.504,50.642,50.71,50.707,50.634,50.502,50.326,50.115,49.876,49.613,49.331,49.043,48.765,48.515,48.309,48.155,48.062,48.037,48.085,48.208,48.395,48.634,48.914,49.224
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.517,68.715,69.091,69.426,69.721,69.975,70.19,70.369,70.515,70.635,70.737,70.831,70.925,71.027,71.14,71.262,71.388,71.508,71.62,71.722,71.819,71.913,72.013,72.125,72.252,72.399,72.569,72.761,72.971,73.195,73.426,73.656,73.878,74.089,74.288,74.479,74.667,74.86,75.063,75.276,75.496,75.716,75.929,76.134,76.329,76.52,76.714,76.916,77.133,77.364,77.611,77.872,78.141,78.412,78.678,78.933,79.171,79.389,79.586,79.761,79.916
Chile,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,30.5,,,,,31.9,,,,,32.2,,,,,31.6,,,,,37,,,,,38.7,,,,,39.1,,,,,44,,,,,47.9,,,54.336,54.445,54.669,54.909,55.162,55.431,55.715,56.015,56.332,56.67,57.031,57.418,57.834,58.28,58.756,59.258,59.782,60.321,60.874,61.441,62.024,62.631,63.266,63.931,64.622,65.339,66.081,66.839,67.6,68.35,69.07,69.742,70.357,70.91,71.401,71.833,72.218,72.571,72.909,73.238,73.56,73.871,74.56,74.64,75.12,75.04,75.36,75.93,76.05,76.25,77.01,76.86,77.42,77.48,77.53,77.93,78.337,78.452,78.561,78.871,78.991
China,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,26,,,,,,,,31,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,32,,,,34,,35,,,,,,37,,,,,,,41,39.247,39.636,40.405,44.55952,46.4656,48.02216,50.44528,50.54896,50.1584,38.40448,31.63176,34.10448,44.50136,51.89912,53.32072,55.6468,56.8032,58.38112,59.4052,60.9652,62.6508,63.73736,63.11888,62.7808,62.4996,62.69888,62.43736,63.96736,64.24432,65.08536,66.12216,66.44976,66.368,66.541,66.712,66.89,67.084,67.294,67.522,67.771,68.042,68.332,68.638,68.952,69.274,69.601,69.935,70.275,70.618,70.957,71.286,71.593,71.874,72.127,72.353,72.555,72.741,72.919,73.099,73.03,73.246
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.99,,,,,,,,,,,,32,,,,,,,,36.6012,,,,,,41.8544,,,,,,48.383,48.986,50.154,51.242,52.253,53.184,54.038,54.817,55.524,56.164,56.745,57.276,57.767,58.227,58.664,59.082,59.477,59.848,60.196,60.53,60.86,61.193,61.54,61.907,62.303,62.738,63.223,63.755,64.319,64.903,65.482,66.03,66.526,66.953,67.306,67.582,67.785,67.936,68.061,68.174,68.298,68.451,68.641,68.869,69.139,69.444,69.773,70.108,70.436,70.748,71.042,71.317,71.58,71.836,72.086,72.331,72.572,72.809,73.041,73.268,73.489
Comoros,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,,,40.1,40.249,40.553,40.872,41.204,41.55,41.91,42.281,42.663,43.054,43.449,43.847,44.244,44.641,45.037,45.44,45.858,46.295,46.754,47.23,47.717,48.205,48.681,49.14,49.578,49.995,50.395,50.787,51.177,51.569,51.967,52.375,52.791,53.209,53.625,54.029,54.41,54.761,55.078,55.362,55.615,55.846,56.065,56.283,56.503,56.729,56.961,57.196,57.431,57.665,57.896,58.121,58.338,58.553,58.769,59,59.258,59.551,59.882,60.25,60.647
Congo Dem. Rep.,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,,,,,,,,,,38.342,38.531,38.899,39.244,39.568,39.869,40.149,40.409,40.651,40.879,41.098,41.312,41.529,41.755,41.995,42.258,42.551,42.873,43.217,43.574,43.929,44.263,44.563,44.821,45.033,45.204,45.348,45.479,45.61,45.746,45.886,46.023,46.149,46.257,46.349,46.432,46.52,46.617,46.722,46.823,46.887,46.87,46.753,46.536,46.241,45.919,45.634,45.446,45.39,45.476,45.685,45.976,46.287,46.575,46.821,47.024,47.201,47.381,47.588,47.827,48.099
Congo Rep.,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7,,,,,41.627,42.014,42.784,43.547,44.303,45.051,45.791,46.52,47.237,47.936,48.611,49.257,49.868,50.439,50.969,51.458,51.911,52.332,52.73,53.107,53.466,53.807,54.131,54.438,54.728,55.007,55.277,55.539,55.791,56.032,56.263,56.485,56.694,56.879,57.028,57.12,57.127,57.041,56.863,56.601,56.275,55.91,55.538,55.19,54.887,54.64,54.453,54.315,54.219,54.171,54.176,54.242,54.371,54.559,54.802,55.094,55.43,55.798,56.187,56.585,56.984
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,30.2147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2147,,,,,,,,,,,,,,30.2,,,,,,,,,,,34.7,,,,,,,,,,35.1,,,,,,,,,,35.1,,,,,,,,,,42.2,,,,,,,,,,46.9,,,,,,,,,,56.177,56.455,57.014,57.576,58.143,58.713,59.286,59.862,60.44,61.017,61.592,62.162,62.724,63.275,63.816,64.342,64.853,65.349,65.836,66.318,66.804,67.303,67.82,68.359,68.919,69.5,70.102,70.714,71.324,71.92,72.487,73.009,73.48,73.896,74.257,74.565,74.83,75.065,75.284,75.495,75.706,75.921,76.137,76.353,76.57,76.787,77.002,77.212,77.415,77.608,77.791,77.962,78.123,78.275,78.418,78.555,78.687,78.814,78.94,79.064,79.188
Cote d'Ivoire,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.9,,,,,38.309,38.437,38.689,38.935,39.174,39.405,39.628,39.843,40.048,40.241,40.42,40.587,40.746,40.907,41.09,41.32,41.631,42.039,42.552,43.166,43.872,44.651,45.471,46.299,47.114,47.902,48.659,49.389,50.087,50.739,51.328,51.84,52.268,52.605,52.849,52.996,53.048,53.016,52.915,52.756,52.544,52.28,51.971,51.632,51.286,50.952,50.649,50.393,50.201,50.089,50.075,50.169,50.368,50.662,51.046,51.515,52.063,52.673,53.328,54.009,54.696
Croatia,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.501,59.952,60.831,61.661,62.444,63.179,63.865,64.503,65.092,65.632,66.123,66.566,66.961,67.314,67.63,67.915,68.176,68.417,68.646,68.867,69.088,69.317,69.551,69.786,70.014,70.221,70.384,70.495,70.552,70.563,70.548,70.536,70.551,70.614,70.732,70.899,71.101,71.314,71.525,71.733,71.949,72.197,72.49,72.831,73.209,73.599,73.965,74.277,74.52,74.692,74.806,74.888,74.972,75.085,75.234,75.421,75.637,75.86,76.075,76.278,76.466
Cuba,32.2,,,,32.7,,,,,33.5,,,,,34.2,,,,,34.7,,,,,36.4,,,,,35.6,,,,,36.3,,,,,36.6,,,,,36,,,,,36.2,,,,,36.5,,,,,36.6,,,,,34.8,,,,,29.6,,,,,29.9,,,,,35.8,,,,,41,,,,,43.7,,,,,22.9,,,,,18.9,33.11248,,,,,34.15824,,,,,35.21936,,,,,36.29048,,,,,37.38208,,,,,38.76016,,,,,41.49528,,,,,44.57152,,,,,47.4716,,,,,50.93096,,,,,57.935,58.234,58.832,59.429,60.023,60.615,61.207,61.798,62.39,62.987,63.591,64.205,64.829,65.462,66.101,66.736,67.36,67.964,68.541,69.088,69.607,70.101,70.577,71.038,71.483,71.907,72.305,72.67,72.999,73.289,73.538,73.748,73.923,74.068,74.187,74.28,74.346,74.387,74.412,74.431,74.463,74.526,74.631,74.783,74.98,75.213,75.463,75.712,75.948,76.166,76.376,76.592,76.83,77.097,77.391,77.701,78.011,78.303,78.565,78.791,78.981
Cyprus,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.512,,,,,,,,,,45,,,,,,,,,,47.464,,,,,,,,,,48.464,,,,,,,,,,,,48.464,,,,,,53.464,,,,,,,65.84,66.069,66.521,66.959,67.381,67.789,68.182,68.562,68.927,69.28,69.621,69.953,70.275,70.591,70.899,71.2,71.493,71.778,72.054,72.32,72.577,72.826,73.067,73.301,73.529,73.752,73.969,74.18,74.386,74.588,74.785,74.978,75.167,75.352,75.533,75.71,75.884,76.054,76.22,76.383,76.543,76.699,76.853,77.004,77.152,77.298,77.442,77.583,77.722,77.859,77.993,78.122,78.247,78.368,78.489,78.613,78.748,78.896,79.058,79.232,79.412
Czech Rep.,34.9544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9544,,,,,,,,,,,,,,,,,,,35,,,,,,40.26616,,,,,,,,,,44.3128,,,,,,,,,,,,,,,,,,,,55.5544,,,,,,,58.452,,,,,,,,,,,,,64.43,65.25,66.87,67.56,68.05,68.97,69.37,69.03,69.94,69.92,70.46,70.64,69.9,70.42,70.58,70.27,70.49,70.38,69.94,69.44,69.53,69.77,70.29,70.13,70.21,70.55,70.66,70.71,70.78,70.89,70.42,70.86,70.96,70.73,70.99,71.2,71.13,71.58,71.78,71.83,71.49,72.03,72.4,72.92,73.13,73.26,73.9,74.01,74.62,74.81,75.05,75.38,75.51,75.46,76.01,76.22,76.78,76.99,77.26,77.316,77.511
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.35,39.92,41.5,43.11,41.86,41.06,42.64,42.49,43.85,44,43.35,40.43,40.47,40.73,39.5,43.5,44.57,43.08,38.6,44.74,46.18,46.78,42.49,40.04,44.42,45.11,47.65,47.62,47.58,40.2,39.85,42.95,44.97,45.66,46.13,46.06,46.15,47.53,47.58,46.11,44.51,45.88,47.41,47.6,46.29,44.86,48.37,46.77,48.56,48.6,49.69,49,48.71,46.71,47.83,47.3,46.83,47.49,47.14,49.42,50.93,52.99,51.86,53.15,50.71,51.95,52.66,54.74,54.81,55.81,54.41,56.6,56.13,54.96,57.44,58.09,57.01,58.09,58.93,58.53,58.46,56.97,57.31,56.25,57,57.55,61.78,60.65,61.22,61.19,61.96,61.71,61.24,61.93,62,62.31,61.89,62.74,63.66,64.15,62.92,63.5,63.98,64.99,65.83,66.27,66.02,67.16,67.46,66.41,66.09,67.24,68.54,70.12,70.15,70.33,70.93,70.78,71.15,71.35,71.92,72.05,71.81,72.24,72.22,72.21,72.47,72.35,72.44,72.52,72.4,72.48,72.96,73.17,73.26,73.38,73.44,73.47,73.71,73.84,74.11,73.78,74.69,74.45,74.27,74.16,74.29,74.63,74.5,74.65,74.52,74.69,74.8,74.89,74.92,74.92,75.29,75.33,75.25,75.51,75.36,75.74,76.11,76.51,76.66,76.9,77.06,77.18,77.78,77.58,78.32,78.32,78.44,78.408,78.512,78.673
Djibouti,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,,,,,33.758,34.026,34.558,35.082,35.598,36.106,36.607,37.1,37.587,38.068,38.545,39.02,39.494,39.967,40.442,40.918,41.394,41.869,42.342,42.811,43.273,43.725,44.166,44.598,45.025,45.459,45.912,46.39,46.893,47.415,47.941,48.451,48.927,49.357,49.736,50.067,50.357,50.624,50.881,51.136,51.392,51.65,51.905,52.157,52.405,52.65,52.892,53.131,53.371,53.617,53.877,54.162,54.474,54.817,55.186,55.578,55.981,56.386,56.784,57.174,57.557
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,,,,,,,,,,,,,,,44.303,44.716,45.538,46.349,47.15,47.941,48.722,49.492,50.252,51.001,51.739,52.465,53.179,53.879,54.566,55.238,55.897,56.542,57.171,57.784,58.376,58.946,59.491,60.011,60.505,60.97,61.405,61.812,62.197,62.569,62.939,63.32,63.718,64.141,64.59,65.067,65.571,66.092,66.616,67.134,67.631,68.094,68.515,68.894,69.229,69.527,69.8,70.06,70.319,70.582,70.846,71.107,71.357,71.592,71.813,72.025,72.236,72.452,72.678,72.913,73.154
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
