Life expectancy at birth,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Argentina,33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,,,,,33.1,,,,,32.6,,,,,34,,,,,33.3,,,,,36.8,,,,,39.7,,,,,43.5,,,,,46.2,,,,,50.2,,,,,52.6,,,,,54.3,,,,,54.3,,,,,59.1,,,,,62,,,,,61.382,61.692,62.282,62.814,63.29,63.707,64.068,64.373,64.624,64.826,64.983,65.102,65.194,65.271,65.346,65.437,65.557,65.712,65.904,66.135,66.4,66.691,66.996,67.302,67.604,67.902,68.2,68.502,68.809,69.117,69.417,69.7,69.958,70.189,70.393,70.578,70.752,70.927,71.111,71.309,71.521,71.747,71.98,72.215,72.448,72.679,72.907,73.132,73.355,73.575,73.792,74.005,74.216,74.423,74.627,74.826,75.019,75.206,75.387,75.562,75.733
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.938,62.152,62.581,63.009,63.435,63.859,64.283,64.707,65.13,65.556,65.985,66.418,66.856,67.298,67.738,68.177,68.613,69.041,69.452,69.835,70.169,70.435,70.625,70.74,70.787,70.791,70.787,70.798,70.836,70.892,70.933,70.907,70.774,70.521,70.155,69.706,69.217,68.748,68.351,68.058,67.893,67.866,67.956,68.142,68.414,68.763,69.183,69.656,70.163,70.682,71.191,71.672,72.116,72.517,72.868,73.165,73.41,73.616,73.794,73.954,74.101
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.419,58.962,60.01,60.98,61.873,62.687,63.424,64.086,64.676,65.199,65.662,66.074,66.444,66.787,67.113,67.435,67.762,68.095,68.436,68.784,69.14,69.498,69.851,70.192,70.519,70.834,71.14,71.441,71.737,72.023,72.293,72.538,72.751,72.928,73.07,73.179,73.261,73.324,73.377,73.424,73.467,73.507,73.541,73.569,73.594,73.618,73.643,73.671,73.705,73.749,73.807,73.883,73.977,74.089,74.216,74.356,74.505,74.659,74.811,74.961,75.106
Australia,34.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.04,62.89,61.73,62.53,63.22,62.94,62.91,62.96,63.15,64.96,65.39,65.69,65.52,64.88,65.15,65.27,65.83,65.87,65.82,66.26,66.14,65.88,66.4,68.03,68.46,67.98,68.59,68.51,69.13,69.02,68.72,69.12,69.7,69.85,70.17,70.05,70.33,70.88,70.45,70.89,71.16,70.93,70.99,70.65,70.98,70.82,71.1,70.73,71.14,70.81,71.41,71.93,72.14,71.89,72.84,72.88,73.49,73.88,74.44,74.6,74.96,74.74,75.55,76.02,75.45,76.13,76.32,76.35,76.45,77.05,77.54,77.54,78.07,78.07,78.45,78.53,78.79,79.28,79.53,79.93,80.27,80.29,80.69,81.04,81.44,81.63,81.67,81.567,81.651,81.783
Austria,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,,,,,,,,,,,35,,,,,,,,,,37.3,,,,,,,,,,42,,40.1,,,,,,,,45.1,,,,,,,,,,,,,,,,,,,,56.452,,,,,,,,,,,,,,,,61.31,63.24,63.43,64.88,65.26,66.8,67.29,67.32,67.6,67.72,67.48,68.49,68.42,68.78,69.75,69.54,69.67,70.16,69.95,70.26,70.14,70.29,70.06,70.11,70.31,70.63,71.21,71.2,71.33,71.82,72.17,72.25,72.56,72.7,73.02,73.18,73.25,73.79,74.01,74.49,74.93,75.41,75.5,75.77,75.83,76.04,76.27,76.59,76.83,77.1,77.5,77.87,78.05,78.33,78.83,78.96,78.96,79.47,79.64,80.1,80.3,80.51,80.523,80.698
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.15,57.354,57.761,58.168,58.573,58.978,59.383,59.787,60.192,60.599,61.008,61.421,61.836,62.253,62.668,63.082,63.497,63.907,64.303,64.673,64.995,65.247,65.417,65.504,65.512,65.454,65.344,65.21,65.08,64.973,64.921,64.952,65.062,65.236,65.451,65.648,65.753,65.725,65.55,65.249,64.882,64.539,64.304,64.239,64.361,64.657,65.079,65.555,66.022,66.459,66.864,67.254,67.659,68.094,68.553,69.014,69.448,69.832,70.15,70.4,70.59
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.573,58.894,59.519,60.109,60.665,61.186,61.675,62.131,62.558,62.961,63.344,63.712,64.07,64.421,64.763,65.09,65.393,65.664,65.898,66.096,66.258,66.388,66.495,66.591,66.685,66.788,66.913,67.063,67.24,67.443,67.674,67.928,68.197,68.467,68.727,68.956,69.133,69.252,69.32,69.346,69.356,69.382,69.454,69.592,69.802,70.078,70.402,70.745,71.088,71.423,71.756,72.1,72.469,72.868,73.291,73.721,74.135,74.514,74.848,75.135,75.386
Bahrain,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,,,,,,,,,,,,,,,40.523,40.953,41.851,42.823,43.87,44.991,46.185,47.447,48.77,50.143,51.549,52.972,54.388,55.775,57.113,58.384,59.579,60.7,61.749,62.724,63.624,64.453,65.216,65.924,66.581,67.192,67.759,68.285,68.772,69.224,69.645,70.037,70.4,70.734,71.043,71.325,71.578,71.803,72.001,72.176,72.334,72.478,72.615,72.749,72.883,73.018,73.156,73.293,73.428,73.56,73.69,73.817,73.941,74.063,74.184,74.304,74.426,74.549,74.675,74.802,74.93
Bangladesh,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,,,,,,,,,,23.2,,,,,,,,,,22,,,,,,,,,,21.5,,,,,,,,,,,,,,,,,,,,24.9,,,,,,,,,,,,,,,,,,,,,,,,44.417,44.652,45.102,45.509,45.875,46.202,46.501,46.782,47.061,47.377,47.763,48.242,48.813,49.43,50,50.247,49.841,48.656,46.742,44.292,41.774,39.791,38.81,39.091,40.641,43.214,46.359,49.476,52.1,54.037,55.234,55.808,56.076,56.301,56.573,56.943,57.415,57.93,58.443,58.955,59.469,59.989,60.515,61.048,61.585,62.126,62.666,63.201,63.727,64.24,64.736,65.213,65.672,66.113,66.534,66.935,67.313,67.669,68.007,68.329,68.64
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.873,55.565,56.909,58.173,59.358,60.462,61.486,62.428,63.289,64.067,64.76,65.369,65.899,66.357,66.757,67.114,67.443,67.758,68.07,68.391,68.726,69.078,69.437,69.798,70.157,70.513,70.86,71.197,71.522,71.835,72.137,72.432,72.723,73.011,73.295,73.569,73.831,74.076,74.298,74.496,74.667,74.809,74.927,75.023,75.102,75.17,75.233,75.294,75.359,75.43,75.509,75.594,75.682,75.771,75.864,75.964,76.075,76.201,76.343,76.498,76.663
