Antigua and Barbuda,,,,,,,,,,,,,,,,,,,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37000,,,,,,,,,,37000,,,,,,,,,,35000,,,,,,,,,,35000,,,,,,,,,,37000,,,,,,,,,,35000,,,,,,,,,,32000,,,,,,,,,,30000,,,,,,,,,,,,,,,,,,,,,,,,,42000,,,,46301,48316,49906,51117,52002,52625,53061,53393,53711,54107,54657,55408,56362,57472,58653,59844,61032,62226,63401,64528,65587,66554,67419,68182,68848,69420,69910,70301,70533,70525,70228,69639,68803,67792,66701,65614,64539,63510,62669,62192,62202,62754,63802,65238,66895,68642,70450,72322,74190,75985,77656,79165,80507,81716,82838,83916,84952,85935,86881,87802,88710,89612,90510,91404
Argentina,,,,,,,,,,,,,,,,,,,534000,,,,,,,,,,,,,,,,,,,,534000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100000,,,,,,,,,,,,,,,,,,,,1796000,,,,,,,,,,,,,,,,,,,,3376000,,,,,,,,,,4693000,4873000,5060000,5254000,5455000,5664000,5881000,6107000,6341000,6584000,6836000,7098000,7370000,7653000,7885000,8072000,8226000,8374000,8518000,8672000,8861000,9092000,9368000,9707000,10054000,10358000,10652000,10965000,11282000,11592000,11896000,12167000,12402000,12623000,12834000,13044000,13260000,13490000,13724000,13984000,14169000,14402000,14638000,14877000,15130000,15390000,15654000,15942000,16307000,16737000,17150335,17506378,17865382,18223955,18579614,18930778,19276813,19617988,19955368,20290620,20625451,20961000,21297317,21633126,21966478,22296628,22622012,22944941,23273148,23616971,23983358,24376109,24791983,25222223,25654154,26078731,26492716,26899177,27303001,27711808,28131040,28561561,29001060,29447973,29899743,30354240,30810984,31269799,31729130,32187173,32642442,33093579,33540023,33982035,34420352,34855160,35287113,35714929,36134642,36541029,36930709,37302116,37657340,38001251,38340778,38681174,39023850,39368066,39714298,40062470,40412376,40764561,41118986,41473982
Armenia,,,,,,,,,,,,,,,,,,,413326,,,,,,,,,,,,,,,,,,,,413326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353506,1382982,1419913,1463017,1511188,1563508,1619242,1677837,1738902,1802171,1867396,1934239,2002170,2070427,2138133,2204650,2269475,2332624,2394635,2456370,2518408,2580894,2643464,2705584,2766495,2825650,2882831,2938181,2991954,3044564,3096298,3145885,3192877,3239212,3287588,3339147,3396511,3457054,3510439,3542720,3544695,3512051,3449940,3370373,3290540,3223173,3172185,3134836,3109101,3090624,3076098,3065810,3061067,3060554,3062612,3065954,3069844,3074181,3079087,3084979,3092072,3100236,3108972,3117722
Aruba,,,,,,,,,,,,,,,,,,,19286,,,,,,,,,,,,,,,,,,,,19286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38066,38263,38966,40151,41765,43729,45935,48244,50500,52536,54209,55436,56227,56698,57031,57362,57714,58052,58388,58725,59066,59439,59849,60238,60524,60654,60589,60366,60108,59980,60099,60570,61347,62208,62833,63030,62645,61830,61069,61026,62147,64642,68286,72573,76762,80323,83069,85161,86827,88442,90271,92363,94596,96875,99046,100996,102711,104225,105526,106612,107488,108141,108587,108883
Australia,450000,,,,,,,,,,,,,,,,,,351014,,,,,,,,,,,,,,,,,,,,334000,331000,329000,329000,332000,333000,330000,328000,326000,326000,330000,333000,338000,349000,354000,358000,367000,373000,388000,403000,420000,448000,465000,472000,482000,494000,505000,518000,538000,576000,605000,636000,710000,795000,887000,983000,1065000,1156000,1235000,1279000,1326000,1346000,1382000,1432000,1495000,1558000,1609000,1647000,1700000,1750000,1775000,1675000,1722000,1769000,1822000,1874000,1929000,1995000,2062000,2127000,2197000,2269000,2348000,2447000,2556000,2650000,2741000,2835000,2932000,3022000,3107000,3196000,3274000,3334000,3395000,3460000,3523000,3586000,3642000,3691000,3741000,3795000,3850000,3896000,3946000,4004000,4062000,4127000,4197000,4278000,4375000,4500000,4661000,4821000,4933000,4971000,4955000,4950000,5032000,5193000,5358000,5461000,5574000,5697000,5819000,5943000,6064000,6188000,6304000,6396000,6469000,6527000,6579000,6631000,6682000,6732000,6783000,6841000,6904000,6971000,7042000,7111000,7173000,7236000,7309000,7389000,7474000,7578000,7715000,7919000,8177344,8398540,8604679,8804552,9004634,9209085,9419635,9635700,9854726,10072762,10286184,10493531,10697112,10903699,11122567,11359763,11617580,11892163,12175746,12457299,12728362,12987847,13236895,13472175,13690285,13889696,14067994,14227905,14379565,14536839,14709918,14901610,15109659,15332790,15567927,15812088,16066496,16330369,16596096,16853690,17096153,17320633,17529469,17727413,17921818,18118416,18319637,18525153,18734878,18947894,19164351,19382188,19604051,19840120,20103822,20403520,20744295,21119988,21513817,21902300,22268384,22605732,22918688,23213944
Austria,2500000,,,,,,,,,,,,,,,,,,3205587,,,,,,,,,,,,,,,,,,,,3369000,3386000,3402000,3419000,3436000,3452000,3469000,3486000,3504000,3521000,3538000,3555000,3573000,3590000,3608000,3626000,3614000,3662000,3680000,3698000,3716000,3739000,3762000,3785000,3808000,3831000,3855000,3878000,3902000,3926000,3950000,3978000,4006000,4035000,4063000,4092000,4120000,4150000,4178000,4206000,4235000,4263000,4292000,4321000,4350000,4380000,4409000,4439000,4469000,4499000,4520000,4562000,4604000,4646000,4688000,4730000,4772000,4815000,4857000,4899000,4941000,4985000,5030000,5075000,5121000,5166000,5212000,5257000,5303000,5348000,5394000,5446000,5504000,5563000,5622000,5680000,5739000,5798000,5856000,5915000,5973000,6035000,6099000,6164000,6228000,6292000,6357000,6421000,6485000,6550000,6614000,6669000,6724000,6767000,6806000,6843000,6825000,6785000,6727000,6420000,6455000,6504000,6528000,6543000,6562000,6582000,6603000,6623000,6643000,6664000,6684000,6705000,6725000,6746000,6760000,6761000,6758000,6755000,6753000,6653000,6705000,6745000,6783000,6808000,6834000,6799000,7000000,6971000,6956000,6943000,6936445,6930746,6929474,6931618,6936580,6944174,6954658,6968701,6987299,7011632,7042634,7080528,7124432,7172179,7220812,7268015,7312775,7355039,7394601,7431574,7465908,7497731,7526469,7550638,7568347,7578498,7580564,7575669,7566450,7556551,7548798,7544359,7543194,7545472,7550960,7559621,7570906,7585345,7605095,7632984,7670513,7719577,7778255,7839625,7894229,7935624,7960464,7971553,7976117,7984694,8004712,8038480,8083059,8134235,8185553,8232196,8273208,8309783,8341806,8369639,8393644,8413429,8428915,8441263
Azerbaijan,,,,,,,,,,,,,,,,,,,879960,,,,,,,,,,,,,,,,,,,,879960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895997,2964962,3044695,3132625,3226823,3326002,3429548,3537490,3650388,3769151,3894494,4026358,4163396,4302765,4440733,4574500,4702919,4826262,4944932,5059921,5172002,5281238,5387375,5490572,5591016,5688997,5784587,5878259,5971198,6064905,6160502,6258490,6358780,6461139,6565062,6670151,6775858,6882160,6989708,7099449,7211692,7327570,7445925,7562075,7669735,7764798,7845310,7913692,7975648,8039312,8110723,8191464,8280252,8376733,8479668,8587902,8701719,8821012,8943600,9066604,9187783,9306023,9421233,9533445
Bahamas,,,,,,,,,,,,,,,,,,,27350,,,,,,,,,,,,,,,,,,,,27350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000,,,,,,,,,,35000,,,,,,,,,,39000,,,,,,,,,,44000,,,,,,,,,,48000,,,,,,,,,,54000,,,,,,,,,,56000,,,,,,,,,,53000,,,,,,,,,,60000,,,,,,,,,,,,69000,,,,,,,79088,79982,81426,83368,85773,88616,91890,95601,99765,104405,109527,115112,121090,127340,133709,140063,146379,152623,158644,164263,169367,173875,177849,181490,185091,188870,192885,197090,201474,205990,210600,215330,220188,225083,229899,234553,238989,243236,247409,251671,256128,260845,265761,270701,275426,279774,283677,287217,290571,293988,297651,301606,305801,310201,314739,319358,324066,328861,333661,338358,342877,347176,351275,355233
Bahrain,,,,,,,,,,,,,,,,,,,64474,,,,,,,,,,,,,,,,,,,,64474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115612,116860,119567,123402,128072,133321,138929,144713,150526,156258,161825,167179,172294,177170,181833,186351,190734,195111,199818,205291,211878,219532,228255,238468,250683,265160,282245,301559,321751,340980,357957,372074,383785,394164,404829,416929,430845,446142,462184,477995,492891,506685,519696,532362,545329,559069,574914,592986,611237,626765,638193,642510,642070,647164,671760,724807,811410,925733,1052359,1169578,1261835,1323535,1359485,1377273
Bangladesh,15789473,,,,,,,,,,,,,,,,,,19227358,,,,,,,,,,,,,,,,,,,,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24721000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31786000,,,,,,,,,,,,,,,,34427000,,,,,,,,,,,,38173021,,,,,37894678,,,,37894678,39112507,40207573,41257838,42322978,43444382,44644395,45927072,47280463,48680410,50101943,51531438,52977254,54474293,56071080,57791778,59681186,61702785,63703327,65474474,66881158,67849312,68461849,68933357,69567500,70582168,72053923,73915723,76066342,78342736,80624423,82883616,85156396,87459802,89828434,92283598,94825499,97429290,100062322,102681627,105256026,107768749,110225555,112645460,115059015,117486952,119928682,122370403,124803351,127214841,129592275,131944584,134266428,136514768,138633401,140587922,142353501,143956805,145478300,147030145,148692131,150493658,152408774,154393847
